datadate,permno,ticker,comnam,ret_fwd_1
2022-12-31,13641,FANG,DIAMONDBACK ENERGY INC,0.064785
2022-12-31,15069,MRO,MARATHON OIL CORP,0.011277
2022-12-31,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,0.007152
2022-12-31,22517,PPL,P P L CORP,0.009505
2022-12-31,26710,L,LOEWS CORP,0.050503
2022-12-31,27991,PNW,PINNACLE WEST CAPITAL CORP,-0.011719
2022-12-31,32986,ATO,ATMOS ENERGY CORP,0.045309
2022-12-31,35044,RF,REGIONS FINANCIAL CORP NEW,0.088337
2022-12-31,35554,MTB,M & T BANK CORP,0.071917
2022-12-31,59248,TAP,MOLSON COORS BEVERAGE CO,0.017075
2022-12-31,62308,GL,GLOBE LIFE INC,0.00071
2022-12-31,75034,BKR,BAKER HUGHES CO,0.071339
2022-12-31,79637,UHS,UNIVERSAL HEALTH SERVICES INC,0.048456
2022-12-31,81677,WAB,WABTEC CORP,0.036576
2022-12-31,82303,RE,EVEREST RE GROUP LTD,0.052104
2022-12-31,82775,HIG,HARTFORD FINANCIAL SVCS GRP INC,0.019974
2022-12-31,89195,PFG,PRINCIPAL FINANCIAL GROUP INC,0.099336
2022-12-31,90386,MOS,MOSAIC CO NEW,0.125746
