datadate,permno,ticker,comnam,ret_fwd_1
2016-12-31,78877,CHK,CHESAPEAKE ENERGY CORP,-0.081597
2016-12-31,39490,APA,APACHE CORP,-0.0539689999999999
2016-12-31,25232,OKE,ONEOK INC NEW,-0.02975
2016-12-31,12308,CHTR,CHARTER COMMUNICATIONS INC NEW,0.124739
2016-12-31,89533,WYNN,WYNN RESORTS LTD,0.172066
2016-12-31,81540,ABC,AMERISOURCEBERGEN CORP,0.115855
2016-12-31,79915,NFX,NEWFIELD EXPLORATION CO,-0.01077
2016-12-31,19561,BA,BOEING CO,0.049317
2016-12-31,21178,LMT,LOCKHEED MARTIN CORP,0.005161
2016-12-31,30681,OMC,OMNICOM GROUP INC,0.005945
2016-12-31,89002,ADS,ALLIANCE DATA SYSTEMS CORP,-0.000925
2016-12-31,91152,TDG,TRANSDIGM GROUP INC,-0.131184
2016-12-31,85913,MAR,MARRIOTT INTERNATIONAL INC NEW,0.022822
2016-12-31,44644,ADP,AUTOMATIC DATA PROCESSING INC,-0.017816
2016-12-31,75186,SCHW,SCHWAB CHARLES CORP NEW,0.044444
2016-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,0.004726
2016-12-31,12622,HCA,H C A HOLDINGS INC,0.084172
2016-12-31,89509,XEC,CIMAREX ENERGY CO,-0.005477
2016-12-31,75825,EOG,EOG RESOURCES INC,0.006005
2016-12-31,22779,MSI,MOTOROLA SOLUTIONS INC,-0.0267
2016-12-31,86111,AMT,AMERICAN TOWER CORP NEW,-0.021028
2016-12-31,28388,VNO,VORNADO REALTY TRUST,0.02499
2016-12-31,57568,BLL,BALL CORP,0.015452
2016-12-31,87447,UPS,UNITED PARCEL SERVICE INC,-0.048464
2016-12-31,61735,AON,AON PLC,0.013049
2016-12-31,15797,CSRA,C S R A INC,-0.026154
2016-12-31,59176,AXP,AMERICAN EXPRESS CO,0.034967
2016-12-31,83143,IRM,IRON MOUNTAIN INC NEW,0.101817
2016-12-31,86339,CCI,CROWN CASTLE INTL CORP NEW,0.011816
2016-12-31,86356,EBAY,EBAY INC,0.071678
2016-12-31,38156,WMB,WILLIAMS COS,-0.0742599999999999
2016-12-31,64186,CI,CIGNA CORP,0.095784
2016-12-31,45751,MMC,MARSH & MCLENNAN COS INC,0.010992
2016-12-31,12060,GE,GENERAL ELECTRIC CO,-0.060527
2016-12-31,77768,PX,PRAXAIR INC,0.010266
2016-12-31,90199,CBG,C B R E GROUP INC,-0.036284
2016-12-31,11703,DD,DU PONT E I DE NEMOURS & CO,0.02821
2016-12-31,56274,CAG,CONAGRA BRANDS INC,-0.006974
2016-12-31,89617,EQIX,EQUINIX INC,0.076738
2016-12-31,76082,COG,CABOT OIL & GAS CORP,-0.080023
2016-12-31,24766,NOC,NORTHROP GRUMMAN CORP,-0.015449
2016-12-31,90880,AMP,AMERIPRISE FINANCIAL INC,0.011588
2016-12-31,76095,HOLX,HOLOGIC INC,0.009819
2016-12-31,64936,D,DOMINION RESOURCES INC VA NEW,-0.004447
2016-12-31,19350,DE,DEERE & CO,0.038517
2016-12-31,91461,WU,WESTERN UNION CO,-0.098927
2016-12-31,92611,V,VISA INC,0.059713
2016-12-31,12052,GD,GENERAL DYNAMICS CORP,0.052768
2016-12-31,21573,IP,INTERNATIONAL PAPER CO,0.066317
2016-12-31,49373,HRB,BLOCK H & R INC,-0.066951
2016-12-31,34032,MAS,MASCO CORP,0.044825
2016-12-31,46886,KLAC,K L A TENCOR CORP,0.081323
2016-12-31,13901,MO,ALTRIA GROUP INC,0.052247
2016-12-31,89393,NFLX,NETFLIX INC,0.1361909999999999
2016-12-31,39917,WY,WEYERHAEUSER CO,0.04081
