datadate,permno,ticker,comnam,ret_fwd_1
2017-12-31,78877,CHK,CHESAPEAKE ENERGY CORP,-0.117362
2017-12-31,79915,NFX,NEWFIELD EXPLORATION CO,0.002923
2017-12-31,27828,HPQ,H P INC,0.108748
2017-12-31,89509,XEC,CIMAREX ENERGY CO,-0.081603
2017-12-31,25232,OKE,ONEOK INC NEW,0.114422
2017-12-31,21178,LMT,LOCKHEED MARTIN CORP,0.1040799999999999
2017-12-31,86996,SBAC,S B A COMMUNICATIONS CORP NEW,0.066993
2017-12-31,89533,WYNN,WYNN RESORTS LTD,-0.0189949999999999
2017-12-31,19561,BA,BOEING CO,0.200421
2017-12-31,87137,DVN,DEVON ENERGY CORP NEW,-0.0019249999999999
2017-12-31,30681,OMC,OMNICOM GROUP INC,0.051251
2017-12-31,87447,UPS,UNITED PARCEL SERVICE INC,0.067369
2017-12-31,76082,COG,CABOT OIL & GAS CORP,-0.077773
2017-12-31,91152,TDG,TRANSDIGM GROUP INC,0.152795
2017-12-31,75186,SCHW,SCHWAB CHARLES CORP NEW,0.037149
2017-12-31,23819,HAL,HALLIBURTON CO,0.097634
2017-12-31,44644,ADP,AUTOMATIC DATA PROCESSING INC,0.053753
2017-12-31,89002,ADS,ALLIANCE DATA SYSTEMS CORP,0.011345
2017-12-31,81540,ABC,AMERISOURCEBERGEN CORP,0.0842929999999999
2017-12-31,12622,HCA,H C A HEALTHCARE INC,0.150439
2017-12-31,38156,WMB,WILLIAMS COS,0.028318
2017-12-31,61735,AON,AON PLC,0.062457
2017-12-31,86111,AMT,AMERICAN TOWER CORP NEW,0.034056
2017-12-31,28388,VNO,VORNADO REALTY TRUST,-0.076283
2017-12-31,91068,CMG,CHIPOTLE MEXICAN GRILL INC,0.1224199999999999
2017-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,0.084614
2017-12-31,81774,FCX,FREEPORT MCMORAN INC,0.027281
2017-12-31,15797,CSRA,C S R A INC,0.1144419999999999
2017-12-31,93089,VRSK,VERISK ANALYTICS INC,0.040988
2017-12-31,89393,NFLX,NETFLIX INC,0.406906
2017-12-31,91461,WU,WESTERN UNION CO,0.0924349999999999
2017-12-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,0.0713019999999999
2017-12-31,12060,GE,GENERAL ELECTRIC CO,-0.074553
2017-12-31,45751,MMC,MARSH & MCLENNAN COS INC,0.029578
2017-12-31,59176,AXP,AMERICAN EXPRESS CO,0.003231
2017-12-31,21573,IP,INTERNATIONAL PAPER CO,0.083716
2017-12-31,86339,CCI,CROWN CASTLE INTL CORP NEW,0.014654
2017-12-31,24766,NOC,NORTHROP GRUMMAN CORP,0.108343
2017-12-31,19350,DE,DEERE & CO,0.062119
2017-12-31,92611,V,VISA INC,0.088346
2017-12-31,64936,D,DOMINION ENERGY INC,-0.058195
2017-12-31,18542,CAT,CATERPILLAR INC,0.036749
2017-12-31,43449,MCD,MCDONALDS CORP,-0.006894
2017-12-31,81696,DISH,DISH NETWORK CORP,-0.019001
2017-12-31,77768,PX,PRAXAIR INC,0.042827
2017-12-31,48725,UNP,UNION PACIFIC CORP,-0.0056739999999999
2017-12-31,17144,GIS,GENERAL MILLS INC,-0.006429
2017-12-31,89617,EQIX,EQUINIX INC,0.003147
2017-12-31,11955,WM,WASTE MANAGEMENT INC DEL,0.023481
2017-12-31,12052,GD,GENERAL DYNAMICS CORP,0.096465
2017-12-31,90199,CBG,C B R E GROUP INC,0.053753
2017-12-31,92239,CXO,CONCHO RESOURCES INC,0.046863
2017-12-31,39490,APA,APACHE CORP,0.0674879999999999
2017-12-31,90880,AMP,AMERIPRISE FINANCIAL INC,-0.005744
2017-12-31,75825,EOG,EOG RESOURCES INC,0.0660549999999999
2017-12-31,88873,GPN,GLOBAL PAYMENTS INC,0.113924
2017-12-31,15202,VMC,VULCAN MATERIALS CO,0.053564
2017-12-31,21792,CNP,CENTERPOINT ENERGY INC,-0.007547
2017-12-31,75241,PXD,PIONEER NATURAL RESOURCES CO,0.057001
2017-12-31,16087,FTV,FORTIVE CORP,0.049526
2017-12-31,70332,APC,ANADARKO PETROLEUM CORP,0.1182999999999999
2017-12-31,56274,CAG,CONAGRA BRANDS INC,0.013201
2017-12-31,76095,HOLX,HOLOGIC INC,-0.0023699999999999
2017-12-31,28222,APD,AIR PRODUCTS & CHEMICALS INC,0.024946
2017-12-31,85631,ADSK,AUTODESK INC,0.101729
2017-12-31,89508,KMX,CARMAX INC,0.1116959999999999
2017-12-31,91392,WYN,WYNDHAM WORLDWIDE CORP,0.070087
2017-12-31,22779,MSI,MOTOROLA SOLUTIONS INC,0.099752
2017-12-31,70033,HOG,HARLEY DAVIDSON INC,-0.048763
2017-12-31,40125,DXC,D X C TECHNOLOGY CO,0.047799
2017-12-31,85663,URI,UNITED RENTALS INC,0.052316
