datadate,permno,ticker,comnam,ret_fwd_1
2018-12-31,10107,MSFT,MICROSOFT CORP,0.0260579999999999
2018-12-31,10145,HON,HONEYWELL INTERNATIONAL INC,0.085018
2018-12-31,10696,FISV,FISERV INC,0.126353
2018-12-31,10909,CERN,CERNER CORP,0.045002
2018-12-31,11308,KO,COCA COLA CO,0.014373
2018-12-31,11403,CDNS,CADENCE DESIGN SYSTEMS INC,0.102546
2018-12-31,11552,CELG,CELGENE CORP,0.378147
2018-12-31,11600,XRAY,DENTSPLY SIRONA INC,0.125285
2018-12-31,11618,FAST,FASTENAL CO,0.162367
2018-12-31,11891,MGM,M G M RESORTS INTERNATIONAL,0.21142
2018-12-31,11896,MXIM,MAXIM INTEGRATED PRODUCTS INC,0.0651569999999999
2018-12-31,11955,WM,WASTE MANAGEMENT INC DEL,0.072965
2018-12-31,12052,GD,GENERAL DYNAMICS CORP,0.092614
2018-12-31,12060,GE,GENERAL ELECTRIC CO,0.34004
2018-12-31,12073,PBCT,PEOPLES UNITED FINANCIAL INC,0.145163
2018-12-31,12490,IBM,INTERNATIONAL BUSINESS MACHS COR,0.180446
2018-12-31,12542,NLSN,NIELSEN HOLDINGS PLC,0.098629
2018-12-31,12622,HCA,H C A HEALTHCARE INC,0.11827
2018-12-31,12623,HII,HUNTINGTON INGALLS INDS INC,0.0827089999999999
2018-12-31,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,0.190319
2018-12-31,13168,TRIP,TRIPADVISOR INC,0.061675
2018-12-31,13407,FB,FACEBOOK INC,0.269469
2018-12-31,13586,PNR,PENTAIR PLC,0.0929239999999999
2018-12-31,13688,PCG,P G & E CORP,0.1921
2018-12-31,13721,ABBV,ABBVIE INC,-0.119575
2018-12-31,13760,NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,0.211158
2018-12-31,13788,ZTS,ZOETIS INC,0.007065
2018-12-31,13856,PEP,PEPSICO INC,0.017723
2018-12-31,13901,MO,ALTRIA GROUP INC,-0.00291
2018-12-31,13936,PVH,P V H CORP,0.171757
2018-12-31,13963,NWSA,NEWS CORP NEW,0.128296
2018-12-31,13983,COTY,COTY INC,0.180827
2018-12-31,14277,SLB,SCHLUMBERGER LTD,0.223233
2018-12-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,0.035226
2018-12-31,14593,AAPL,APPLE INC,0.053054
2018-12-31,14702,AMAT,APPLIED MATERIALS INC,0.191547
2018-12-31,14714,ANET,ARISTA NETWORKS INC,0.0172639999999999
2018-12-31,14776,SYF,SYNCHRONY FINANCIAL,0.278377
2018-12-31,15202,VMC,VULCAN MATERIALS CO,0.026746
2018-12-31,15408,KHC,KRAFT HEINZ CO,0.114536
2018-12-31,15456,FL,FOOT LOCKER INC,0.054949
2018-12-31,15488,PYPL,PAYPAL HOLDINGS INC,0.053436
2018-12-31,15579,TXN,TEXAS INSTRUMENTS INC,0.071445
2018-12-31,16087,FTV,FORTIVE CORP,0.106236
2018-12-31,16431,LW,LAMB WESTON HOLDINGS INC,-0.01651
2018-12-31,16432,GT,GOODYEAR TIRE & RUBBER CO,0.043956
2018-12-31,16600,HSY,HERSHEY CO,-0.0121769999999999
2018-12-31,16816,BHF,BRIGHTHOUSE FINANCIAL INC,0.222966
2018-12-31,16851,DWDP,DOWDUPONT INC,0.004071
2018-12-31,17144,GIS,GENERAL MILLS INC,0.151726
2018-12-31,17478,SPGI,S & P GLOBAL INC,0.125651
2018-12-31,17750,KMB,KIMBERLY CLARK CORP,-0.024568
2018-12-31,18542,CAT,CATERPILLAR INC,0.052594
2018-12-31,18729,CL,COLGATE PALMOLIVE CO,0.09165
2018-12-31,19166,FMC,F M C CORP,0.076862
2018-12-31,19393,BMY,BRISTOL MYERS SQUIBB CO,-0.044424
2018-12-31,19561,BA,BOEING CO,0.193621
2018-12-31,19583,IVZ,INVESCO LTD,0.086311
2018-12-31,20415,JEF,JEFFERIES FINANCIAL GROUP INC,0.196633
2018-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,0.111883
2018-12-31,21178,LMT,LOCKHEED MARTIN CORP,0.104263
2018-12-31,21186,WRK,WESTROCK CO,0.076025
2018-12-31,21207,NEM,NEWMONT MINING CORP,-0.017684
2018-12-31,21573,IP,INTERNATIONAL PAPER CO,0.173073
2018-12-31,22111,JNJ,JOHNSON & JOHNSON,0.0291279999999999
2018-12-31,22509,PPG,P P G INDUSTRIES INC,0.0292999999999999
2018-12-31,22592,MMM,3M CO,0.049123
2018-12-31,22779,MSI,MOTOROLA SOLUTIONS INC,0.014155
2018-12-31,23085,SCG,SCANA CORP NEW,
2018-12-31,23393,CHD,CHURCH & DWIGHT INC,-0.019588
2018-12-31,23660,CTAS,CINTAS CORP,0.1140969999999999
2018-12-31,23819,HAL,HALLIBURTON CO,0.177734
2018-12-31,24643,ARNC,ARCONIC INC,0.1141509999999999
2018-12-31,24766,NOC,NORTHROP GRUMMAN CORP,0.1230529999999999
