datadate,permno,ticker,comnam,ret_fwd_1
2015-12-31,11618,FAST,FASTENAL CO,0.0008799999999999
2015-12-31,12490,IBM,INTERNATIONAL BUSINESS MACHS COR,-0.093328
2015-12-31,13142,KORS,MICHAEL KORS HOLDINGS LTD,-0.004094
2015-12-31,13721,ABBV,ABBVIE INC,-0.063739
2015-12-31,14601,NAVI,NAVIENT CORP,-0.1651649999999999
2015-12-31,16600,HSY,HERSHEY CO,-0.013094
2015-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,-0.079439
2015-12-31,24459,PBI,PITNEY BOWES INC,-0.051916
2015-12-31,24643,AA,ALCOA INC,-0.261498
2015-12-31,25232,OKE,ONEOK INC NEW,0.0349769999999999
2015-12-31,50017,RRC,RANGE RESOURCES CORP,0.201038
2015-12-31,52337,THC,TENET HEALTHCARE CORP,-0.10505
2015-12-31,53613,MU,MICRON TECHNOLOGY INC,-0.2211449999999999
2015-12-31,55976,WMT,WAL MART STORES INC,0.0824449999999999
2015-12-31,63765,SWN,SOUTHWESTERN ENERGY CO,0.250252
2015-12-31,66384,WDC,WESTERN DIGITAL CORP,-0.201099
2015-12-31,69550,MYL,MYLAN N V,-0.025623
2015-12-31,76082,COG,CABOT OIL & GAS CORP,0.17401
2015-12-31,77281,WFM,WHOLE FOODS MARKET INC,-0.121145
2015-12-31,77768,PX,PRAXAIR INC,-0.023538
2015-12-31,79089,FOSL,FOSSIL GROUP INC,
2015-12-31,79588,GMCR,KEURIG GREEN MOUNTAIN INC,-0.004601
2015-12-31,81061,MCK,MCKESSON H B O C INC,-0.1838959999999999
2015-12-31,83111,ALXN,ALEXION PHARMACEUTICALS INC,-0.235067
2015-12-31,83143,IRM,IRON MOUNTAIN INC NEW,0.019522
2015-12-31,85072,RL,RALPH LAUREN CORP,0.00905
2015-12-31,85663,URI,UNITED RENTALS INC,-0.3396369999999999
2015-12-31,86799,CNX,CONSOL ENERGY INC,0.0049629999999999
2015-12-31,86964,FFIV,F 5 NETWORKS INC,-0.032897
2015-12-31,88590,DNB,DUN & BRADSTREET CORP DEL NEW,-0.053117
2015-12-31,88668,MON,MONSANTO CO NEW,-0.075009
2015-12-31,88837,GRMN,GARMIN LTD,-0.053638
2015-12-31,89533,WYNN,WYNN RESORTS LTD,-0.026838
2015-12-31,89641,STX,SEAGATE TECHNOLOGY PLC,-0.2076829999999999
2015-12-31,91063,VIAB,VIACOM INC NEW,0.108744
2015-12-31,92293,TDC,TERADATA CORP DE,-0.078828
2015-12-31,92709,SNI,SCRIPPS NETWORKS INTERACTIVE INC,0.104229
2015-12-31,92890,MJN,MEAD JOHNSON NUTRITION CO,-0.081924
2015-12-31,93159,ESV,E N S C O PLC NEW,-0.364622
