datadate,permno,ticker,comnam,ret_fwd_1
2021-12-31,11404,ED,CONSOLIDATED EDISON INC,0.013244
2021-12-31,15720,EIX,EDISON INTERNATIONAL,-0.08
2021-12-31,16851,DD,DUPONT DE NEMOURS INC,-0.051746
2021-12-31,20057,VTRS,VIATRIS INC,0.10643
2021-12-31,22517,PPL,P P L CORP,-0.012641
2021-12-31,27991,PNW,PINNACLE WEST CAPITAL CORP,-0.001842
2021-12-31,42585,SJM,SMUCKER J M CO,0.035046
2021-12-31,53613,MU,MICRON TECHNOLOGY INC,-0.116801
2021-12-31,54148,PHM,PULTE GROUP INC,-0.078202
2021-12-31,59248,TAP,MOLSON COORS BEVERAGE CO,0.028263
2021-12-31,62308,GL,GLOBE LIFE INC,0.093657
2021-12-31,64186,CI,CIGNA CORP NEW,0.003615
2021-12-31,66093,T,A T & T INC,0.057724
