datadate,permno,ticker,comnam,ret_fwd_1
2020-12-31,11850,XOM,EXXON MOBIL CORP,0.087721
2020-12-31,11891,MGM,M G M RESORTS INTERNATIONAL,-0.093721
2020-12-31,12060,GE,GENERAL ELECTRIC CO,-0.0112109999999999
2020-12-31,12073,PBCT,PEOPLES UNITED FINANCIAL INC,0.070279
2020-12-31,12558,KMI,KINDER MORGAN INC,0.049095
2020-12-31,12622,HCA,H C A HEALTHCARE INC,-0.01214
2020-12-31,12623,HII,HUNTINGTON INGALLS INDS INC,-0.077235
2020-12-31,12872,MPC,MARATHON PETROLEUM CORP,0.04342
2020-12-31,13356,PSX,PHILLIPS 66,-0.030698
2020-12-31,13641,FANG,DIAMONDBACK ENERGY INC,0.171181
2020-12-31,13721,ABBV,ABBVIE INC,-0.031551
2020-12-31,13760,NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,-0.10942
2020-12-31,13928,COP,CONOCOPHILLIPS,0.0009
2020-12-31,13936,PVH,P V H CORP,-0.092016
2020-12-31,14277,SLB,SCHLUMBERGER LTD,0.017307
2020-12-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,-0.088811
2020-12-31,14541,CVX,CHEVRON CORP NEW,0.008781
2020-12-31,14579,PAYC,PAYCOM SOFTWARE INC,-0.160432
2020-12-31,15069,MRO,MARATHON OIL CORP,0.085357
2020-12-31,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,0.0412499999999999
2020-12-31,16431,LW,LAMB WESTON HOLDINGS INC,-0.051408
2020-12-31,16538,FTI,TECHNIPFMC PLC,0.137134
2020-12-31,17478,SPGI,S & P GLOBAL INC,-0.035783
2020-12-31,17750,KMB,KIMBERLY CLARK CORP,-0.0203479999999999
2020-12-31,17830,RTX,RAYTHEON TECHNOLOGIES CORP,-0.066944
2020-12-31,18729,CL,COLGATE PALMOLIVE CO,-0.08278
2020-12-31,19502,WBA,WALGREENS BOOTS ALLIANCE INC,0.25993
2020-12-31,19561,BA,BOEING CO,-0.092924
2020-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,0.0886759999999999
2020-12-31,21178,LMT,LOCKHEED MARTIN CORP,-0.093514
2020-12-31,22779,MSI,MOTOROLA SOLUTIONS INC,-0.01486
2020-12-31,23026,FE,FIRSTENERGY CORP,0.0048
2020-12-31,23473,CINF,CINCINNATI FINANCIAL CORP,-0.037642
2020-12-31,23819,HAL,HALLIBURTON CO,-0.067296
2020-12-31,24643,HWM,HOWMET AEROSPACE INC,-0.1388529999999999
2020-12-31,25081,CMA,COMERICA INC,0.023889
2020-12-31,25232,OKE,ONEOK INC NEW,0.062042
2020-12-31,26710,L,LOEWS CORP,0.0058969999999999
2020-12-31,27828,HPQ,H P INC,-0.010267
2020-12-31,27983,XRX,XEROX HOLDINGS CORP,-0.093244
2020-12-31,28388,VNO,VORNADO REALTY TRUST,0.078904
2020-12-31,28484,HES,HESS CORP,0.022442
2020-12-31,28804,ALK,ALASKA AIRGROUP INC,-0.061062
2020-12-31,30681,OMC,OMNICOM GROUP INC,6.000000000000001e-05
2020-12-31,30940,FLS,FLOWSERVE CORP,-0.035107
2020-12-31,32803,HFC,HOLLYFRONTIER CORP,0.100867
2020-12-31,34032,MAS,MASCO CORP,-0.0088379999999999
2020-12-31,34833,OXY,OCCIDENTAL PETROLEUM CORP,0.158768
2020-12-31,35554,MTB,M & T BANK CORP,0.040513
2020-12-31,38703,WFC,WELLS FARGO & CO NEW,-0.0100399999999999
2020-12-31,39490,APA,APACHE CORP,0.008004
2020-12-31,40125,DXC,D X C TECHNOLOGY CO,0.0950459999999999
2020-12-31,43449,MCD,MCDONALDS CORP,-0.03151
2020-12-31,46578,CLX,CLOROX CO,0.042739
2020-12-31,46703,HST,HOST HOTELS & RESORTS INC,-0.073921
2020-12-31,48506,MCO,MOODYS CORP,-0.082721
2020-12-31,49015,LNC,LINCOLN NATIONAL CORP,-0.087558
2020-12-31,50876,LLY,LILLY ELI & CO,0.231658
2020-12-31,57904,AFL,AFLAC INC,0.015866
2020-12-31,58413,FRT,FEDERAL REALTY INVESTMENT TRUST,0.028565
2020-12-31,58683,LUV,SOUTHWEST AIRLINES CO,-0.057384
2020-12-31,59300,UDR,U D R INC,0.009788
2020-12-31,60599,LUMN,CENTURYLINK INC,0.269644
2020-12-31,61399,LOW,LOWES COMPANIES INC,0.0431369999999999
2020-12-31,64282,LB,L BRANDS INC,0.095894
2020-12-31,65947,WELL,WELLTOWER INC,-0.06231
2020-12-31,66157,USB,U S BANCORP DEL,-0.080375
2020-12-31,66181,HD,HOME DEPOT INC,0.019477
2020-12-31,66800,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.0111939999999999
2020-12-31,70519,C,CITIGROUP INC,-0.051349
2020-12-31,71175,UNM,UNUM GROUP,0.024965
2020-12-31,75034,BKR,BAKER HUGHES CO,-0.036551
2020-12-31,75154,CCL,CARNIVAL CORP,-0.138142
2020-12-31,75241,PXD,PIONEER NATURAL RESOURCES CO,0.061451
2020-12-31,75607,NLOK,NORTONLIFELOCK INC,0.013856
2020-12-31,75825,EOG,EOG RESOURCES INC,0.029276
2020-12-31,76605,AZO,AUTOZONE INC,-0.056678
2020-12-31,76709,IDXX,I D E X X LABORATORIES INC,-0.042491
2020-12-31,77129,KIM,KIMCO REALTY CORP,0.0998329999999999
2020-12-31,77702,SBUX,STARBUCKS CORP,-0.095165
2020-12-31,77730,TSN,TYSON FOODS INC,-0.002117
2020-12-31,79103,ORLY,O REILLY AUTOMOTIVE INC NEW,-0.05998
2020-12-31,79145,RCL,ROYAL CARIBBEAN CRUISES LTD,-0.1298359999999999
2020-12-31,79265,FLIR,FLIR SYSTEMS INC,0.187443
2020-12-31,79547,EQR,EQUITY RESIDENTIAL,0.0397109999999999
2020-12-31,79782,REG,REGENCY CENTERS CORP,0.0347759999999999
2020-12-31,80100,SPG,SIMON PROPERTY GROUP INC NEW,0.0896049999999999
2020-12-31,80381,AVB,AVALONBAY COMMUNITIES INC,0.020096
2020-12-31,80681,ESS,ESSEX PROPERTY TRUST INC,0.009124
2020-12-31,82598,NTAP,NETAPP INC,0.010166
2020-12-31,82651,WAT,WATERS CORP,0.06962
2020-12-31,82775,HIG,HARTFORD FINANCIAL SVCS GRP INC,-0.0197
2020-12-31,84032,NOV,NATIONAL OILWELL VARCO INC,-0.098425
2020-12-31,84129,ZION,ZIONS BANCORPORATION N A,0.016014
2020-12-31,84381,ROK,ROCKWELL AUTOMATION INC,-0.009191
2020-12-31,85058,BXP,BOSTON PROPERTIES INC,-0.034586
2020-12-31,85072,RL,RALPH LAUREN CORP,-0.02603
2020-12-31,85265,SLG,S L GREEN REALTY CORP,0.1053289999999999
2020-12-31,85269,VLO,VALERO ENERGY CORP NEW,-0.002575
2020-12-31,85348,YUM,YUM BRANDS INC,-0.065225
2020-12-31,85621,MTD,METTLER TOLEDO INTERNATIONAL INC,0.024837
2020-12-31,85631,ADSK,AUTODESK INC,-0.091506
2020-12-31,85753,VRSN,VERISIGN INC,-0.103288
2020-12-31,85913,MAR,MARRIOTT INTERNATIONAL INC NEW,-0.118429
2020-12-31,85926,SEE,SEALED AIR CORP NEW,-0.076973
2020-12-31,86996,SBAC,S B A COMMUNICATIONS CORP NEW,-0.047809
2020-12-31,87137,DVN,DEVON ENERGY CORP NEW,0.0410129999999999
2020-12-31,87447,UPS,UNITED PARCEL SERVICE INC,-0.079672
2020-12-31,89533,WYNN,WYNN RESORTS LTD,-0.117976
2020-12-31,90248,DPZ,DOMINOS PIZZA INC,-0.033219
2020-12-31,90829,CF,C F INDUSTRIES HOLDINGS INC,0.0688749999999999
2020-12-31,91103,UAL,UNITED AIRLINES HOLDINGS INC,-0.075476
2020-12-31,91152,TDG,TRANSDIGM GROUP INC,-0.106055
2020-12-31,91233,MA,MASTERCARD INC,-0.112752
2020-12-31,91461,WU,WESTERN UNION CO,0.014941
2020-12-31,91926,DAL,DELTA AIR LINES INC,-0.056056
