datadate,permno,ticker,comnam,ret_fwd_1
2019-12-31,90071,NRG,N R G ENERGY INC,-0.065703
2019-12-31,85913,MAR,MARRIOTT INTERNATIONAL INC NEW,-0.076384
2019-12-31,86996,SBAC,S B A COMMUNICATIONS CORP NEW,0.034262
2019-12-31,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,-0.029341
2019-12-31,44644,ADP,AUTOMATIC DATA PROCESSING INC,0.00392
2019-12-31,86111,AMT,AMERICAN TOWER CORP NEW,0.007054
2019-12-31,21178,LMT,LOCKHEED MARTIN CORP,0.098192
2019-12-31,61735,AON,AON PLC,0.058232
2019-12-31,91152,TDG,TRANSDIGM GROUP INC,0.147414
2019-12-31,77178,QCOM,QUALCOMM INC,-0.034395
2019-12-31,30681,OMC,OMNICOM GROUP INC,-0.0717759999999999
2019-12-31,87447,UPS,UNITED PARCEL SERVICE INC,-0.116967
2019-12-31,12622,HCA,H C A HEALTHCARE INC,-0.062257
2019-12-31,19561,BA,BOEING CO,-0.024293
2019-12-31,81540,ABC,AMERISOURCEBERGEN CORP,0.005051
2019-12-31,21020,AAL,AMERICAN AIRLINES GROUP INC,-0.065456
2019-12-31,75186,SCHW,SCHWAB CHARLES CORP NEW,-0.043562
2019-12-31,28388,VNO,VORNADO REALTY TRUST,-0.002353
2019-12-31,92611,V,VISA INC,0.057614
2019-12-31,12449,FLT,FLEETCOR TECHNOLOGIES INC,0.094314
2019-12-31,91461,WU,WESTERN UNION CO,0.003181
2019-12-31,59176,AXP,AMERICAN EXPRESS CO,0.04537
2019-12-31,11308,KO,COCA COLA CO,0.053804
2019-12-31,45751,MMC,MARSH & MCLENNAN COS INC,0.006823
2019-12-31,57568,BLL,BALL CORP,0.114828
2019-12-31,89626,CME,C M E GROUP INC,0.080356
2019-12-31,86339,CCI,CROWN CASTLE INTL CORP NEW,0.052798
2019-12-31,15488,PYPL,PAYPAL HOLDINGS INC,0.05158
2019-12-31,64390,PGR,PROGRESSIVE CORP OH,0.14582
2019-12-31,48725,UNP,UNION PACIFIC CORP,-0.008878
2019-12-31,10104,ORCL,ORACLE CORP,-0.006774
2019-12-31,93089,VRSK,VERISK ANALYTICS INC,0.08662
2019-12-31,89002,ADS,ALLIANCE DATA SYSTEMS CORP,-0.085168
2019-12-31,14008,AMGN,AMGEN INC,-0.105087
2019-12-31,89533,WYNN,WYNN RESORTS LTD,-0.0928239999999999
2019-12-31,38093,AJG,GALLAGHER ARTHUR J & CO,0.075777
2019-12-31,53065,IPG,INTERPUBLIC GROUP COS INC,-0.018616
2019-12-31,23229,CMS,C M S ENERGY CORP,0.088929
2019-12-31,62148,CSX,C S X CORP,0.053703
2019-12-31,23026,FE,FIRSTENERGY CORP,0.0437619999999999
2019-12-31,85926,SEE,SEALED AIR CORP NEW,-0.110012
2019-12-31,25232,OKE,ONEOK INC NEW,0.000484
2019-12-31,52090,MKC,MCCORMICK & CO INC,-0.038771
2019-12-31,92614,AWK,AMERICAN WATER WORKS CO INC,0.107369
2019-12-31,76712,AES,A E S CORP,0.003891
2019-12-31,90829,CF,C F INDUSTRIES HOLDINGS INC,-0.157563
2019-12-31,24766,NOC,NORTHROP GRUMMAN CORP,0.087661
2019-12-31,14593,AAPL,APPLE INC,0.05271
2019-12-31,83143,IRM,IRON MOUNTAIN INC NEW,-0.009458
2019-12-31,19350,DE,DEERE & CO,-0.086028
2019-12-31,82651,WAT,WATERS CORP,-0.0435
2019-12-31,90880,AMP,AMERIPRISE FINANCIAL INC,-0.008324
2019-12-31,13911,IQV,IQVIA HOLDINGS INC,0.003489
2019-12-31,10145,HON,HONEYWELL INTERNATIONAL INC,-0.022656
2019-12-31,17144,GIS,GENERAL MILLS INC,-0.0171699999999999
2019-12-31,89617,EQIX,EQUINIX INC,0.009031
2019-12-31,27828,HPQ,H P INC,0.03617
2019-12-31,44329,TFX,TELEFLEX INC,-0.0143959999999999
2019-12-31,11955,WM,WASTE MANAGEMENT INC DEL,0.066619
2019-12-31,25582,LHX,L3HARRIS TECHNOLOGIES INC,0.117263
2019-12-31,89393,NFLX,NETFLIX INC,0.065208
2019-12-31,18542,CAT,CATERPILLAR INC,-0.104902
2019-12-31,85753,VRSN,VERISIGN INC,0.078937
2019-12-31,89003,FIS,FIDELITY NATIONAL INFO SVCS INC,0.0315569999999999
2019-12-31,88873,GPN,GLOBAL PAYMENTS INC,0.069307
2019-12-31,92402,MSCI,M S C I INC,0.10568
2019-12-31,43449,MCD,MCDONALDS CORP,0.081489
2019-12-31,90199,CBRE,C B R E GROUP INC,-0.005216
2019-12-31,90993,ICE,INTERCONTINENTALEXCHANGE GRP INC,0.076388
2019-12-31,12052,GD,GENERAL DYNAMICS CORP,-0.000676
2019-12-31,64311,NSC,NORFOLK SOUTHERN CORP,0.071229
2019-12-31,13721,ABBV,ABBVIE INC,-0.072906
2019-12-31,13901,MO,ALTRIA GROUP INC,-0.048986
2019-12-31,10696,FISV,FISERV INC,0.024472
2019-12-31,76076,CSCO,CISCO SYSTEMS INC,-0.035495
2019-12-31,89508,KMX,CARMAX INC,0.105578
2019-12-31,28222,APD,AIR PRODUCTS & CHEMICALS INC,0.014531
2019-12-31,84769,APH,AMPHENOL CORP NEW,-0.0822389999999999
2019-12-31,87267,BLK,BLACKROCK INC,0.047735
2019-12-31,48506,MCO,MOODYS CORP,0.080331
2019-12-31,69649,RJF,RAYMOND JAMES FINANCIAL INC,0.020721
2019-12-31,76095,HOLX,HOLOGIC INC,0.023791
2019-12-31,90601,NDAQ,NASDAQ INC,0.086095
2019-12-31,20482,ABT,ABBOTT LABORATORIES,0.006068
2019-12-31,86228,RSG,REPUBLIC SERVICES INC,0.0591709999999999
2019-12-31,64936,D,DOMINION ENERGY INC,0.034078
2019-12-31,90520,CE,CELANESE CORP DEL,-0.160657
2019-12-31,79698,IT,GARTNER INC,0.0420479999999999
2019-12-31,83862,ETFC,E TRADE FINANCIAL CORP,-0.061913
2019-12-31,12448,FRC,FIRST REPUBLIC BANK S F NEW,-0.055621
2019-12-31,24205,NEE,NEXTERA ENERGY INC,0.106232
2019-12-31,75819,VTR,VENTAS INC,0.000778
2019-12-31,23536,WEC,W E C ENERGY GROUP INC,0.081753
2019-12-31,62092,TMO,THERMO FISHER SCIENTIFIC INC,-0.037253
2019-12-31,85257,AME,AMETEK INC NEW,-0.027268
2019-12-31,58246,NTRS,NORTHERN TRUST CORP,-0.080649
2019-12-31,21936,PFE,PFIZER INC,-0.041116
2019-12-31,16431,LW,LAMB WESTON HOLDINGS INC,0.062747
2019-12-31,25419,WHR,WHIRLPOOL CORP,-0.010518
2019-12-31,91233,MA,MASTERCARD INC,0.0581459999999999
2019-12-31,92602,PM,PHILIP MORRIS INTERNATIONAL INC,-0.0293879999999999
2019-12-31,22779,MSI,MOTOROLA SOLUTIONS INC,0.097124
2019-12-31,23473,CINF,CINCINNATI FINANCIAL CORP,-0.003202
2019-12-31,81061,MCK,MCKESSON H B O C INC,0.029715
2019-12-31,11786,SIVB,S V B FINANCIAL GROUP,-0.043963
2019-12-31,42200,PKI,PERKINELMER INC,-0.048159
2019-12-31,92121,DFS,DISCOVER FINANCIAL SERVICES,-0.1155419999999999
2019-12-31,24942,RTN,RAYTHEON CO,0.00845
2019-12-31,56573,ITW,ILLINOIS TOOL WORKS INC,-0.027187
2019-12-31,58819,LNT,ALLIANT ENERGY CORP,0.09044
2019-12-31,61621,PAYX,PAYCHEX INC,0.014336
2019-12-31,21792,CNP,CENTERPOINT ENERGY INC,-0.03027
2019-12-31,65875,VZ,VERIZON COMMUNICATIONS INC,-0.0232059999999999
2019-12-31,10107,MSFT,MICROSOFT CORP,0.078155
2019-12-31,17743,WRB,BERKLEY W R CORP,0.06281
2019-12-31,60943,LEG,LEGGETT & PLATT INC,-0.0650419999999999
2019-12-31,77338,ROP,ROPER TECHNOLOGIES INC,0.077582
2019-12-31,23931,XEL,X C E L ENERGY INC,0.088478
2019-12-31,77274,GILD,GILEAD SCIENCES INC,-0.028693
2019-12-31,17750,KMB,KIMBERLY CLARK CORP,0.040067
2019-12-31,26825,K,KELLOGG CO,-0.015036
2019-12-31,32986,ATO,ATMOS ENERGY CORP,0.044919
2019-12-31,24109,AEP,AMERICAN ELECTRIC POWER CO INC,0.10144
2019-12-31,24985,AEE,AMEREN CORP,0.067059
2019-12-31,38762,NI,NISOURCE INC,0.051502
2019-12-31,82598,NTAP,NETAPP INC,-0.135758
2019-12-31,86136,SRE,SEMPRA ENERGY,0.05917
2019-12-31,11674,DTE,D T E ENERGY CO,0.019798
2019-12-31,25953,DOV,DOVER CORP,-0.013533
2019-12-31,24010,ETR,ENTERGY CORP NEW,0.09653
2019-12-31,12060,GE,GENERAL ELECTRIC CO,0.114291
2019-12-31,41355,PH,PARKER HANNIFIN CORP,-0.050518
2019-12-31,60871,ADI,ANALOG DEVICES INC,-0.077789
2019-12-31,90505,LVS,LAS VEGAS SANDS CORP,-0.055327
2019-12-31,39642,BDX,BECTON DICKINSON & CO,0.0105029999999999
2019-12-31,57904,AFL,AFLAC INC,-0.026442
2019-12-31,84381,ROK,ROCKWELL AUTOMATION INC,-0.055625
2019-12-31,85348,YUM,YUM BRANDS INC,0.048735
2019-12-31,18411,SO,SOUTHERN CO,0.103881
2019-12-31,15202,VMC,VULCAN MATERIALS CO,-0.0176899999999999
2019-12-31,82686,CTXS,CITRIX SYSTEMS INC,0.091757
2019-12-31,91041,LYV,LIVE NATION ENTERTAINMENT INC,-0.047613
2019-12-31,23393,CHD,CHURCH & DWIGHT INC,0.053861
2019-12-31,44206,ES,EVERSOURCE ENERGY,0.085335
2019-12-31,62308,GL,GLOBE LIFE INC,-0.0090669999999999
2019-12-31,82775,HIG,HARTFORD FINANCIAL SVCS GRP INC,-0.0258189999999999
2019-12-31,19166,FMC,F M C CORP,-0.043676
2019-12-31,36468,SHW,SHERWIN WILLIAMS CO,-0.046798
2019-12-31,66157,USB,U S BANCORP DEL,-0.1036779999999999
2019-12-31,79323,ALL,ALLSTATE CORP,0.0528569999999999
