symbol,company,year_month,signal,weighted_sentiment_score,avg_sentiment_score,article_count,positive_count,negative_count,neutral_count,effective_article_count
MMM,3M,2015-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2015-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2016-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2017-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2018-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2019-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2020-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2021-12,buy,0.1236,0.6025,1,1,0,0,0.21
MMM,3M,2022-01,hold,-0.0695,-0.9122,1,0,1,0,0.08
MMM,3M,2022-02,sell,-0.3206,-0.9529,1,0,1,0,0.34
MMM,3M,2022-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-06,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-07,sell,-0.5839,-0.958,1,0,1,0,0.61
MMM,3M,2022-08,hold,-0.0204,-0.0335,1,0,0,1,0.61
MMM,3M,2022-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2022-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-01,sell,-1.3965,-0.9015,3,0,3,0,1.55
MMM,3M,2023-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-03,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-04,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-05,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-06,hold,-0.0794,-0.9434,1,0,1,0,0.08
MMM,3M,2023-07,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-08,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-09,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-10,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-11,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2023-12,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2024-01,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2024-02,hold,0.0,0.0,0,0,0,0,0.0
MMM,3M,2024-03,hold,0.0,0.0,0,0,0,0,0.0
