permno,date,ticker,weighted_mean_recommendation,recommendation_change,unweighted_mean_recommendation,unweighted_change,num_recommendations,effective_recommendation_count
10104,2014-12-31,ORCL,-0.14847610998541538,,0.0,,3,0.3997027572276302
10104,2015-01-31,ORCL,-0.08411876203952226,0.06435734794589312,-1.0,-1.0,1,0.08411876203952226
10104,2015-03-31,ORCL,-0.9057236642639067,-0.8216049022243844,-1.0,0.0,1,0.9057236642639067
10104,2015-04-30,ORCL,0.0,0.9057236642639067,0.0,1.0,1,1.0
10104,2015-05-31,ORCL,-0.4964985722842371,-0.4964985722842371,-1.0,-1.0,2,0.4964985722842371
10104,2015-06-30,ORCL,0.0,0.4964985722842371,0.0,1.0,1,0.12500000000000003
10104,2015-07-31,ORCL,-1.4749722803697245,-1.4749722803697245,-0.5,-0.5,2,1.2421987124219958
10104,2015-09-30,ORCL,-0.526022378418453,0.9489499019512715,-1.5,-1.0,2,0.3880111892092265
10104,2015-10-31,ORCL,0.07253382810913024,0.5985562065275832,0.0,1.5,3,0.5749871225935599
10104,2015-11-30,ORCL,-1.0,-1.0725338281091303,-0.6666666666666666,-0.6666666666666666,3,0.7364954688150818
10104,2016-01-31,ORCL,-0.08411876203952226,0.9158812379604777,-0.3333333333333333,0.3333333333333333,3,0.48174681866170044
10104,2016-02-29,ORCL,-0.6729500963161781,-0.5888313342766558,-1.0,-0.6666666666666667,1,0.6729500963161781
10104,2016-03-31,ORCL,0.13607824439729618,0.8090283407134743,0.3333333333333333,1.3333333333333333,3,0.39797843017154466
10104,2016-04-30,ORCL,-0.3714985722842371,-0.5075768166815333,-1.0,-1.3333333333333333,1,0.3714985722842371
10104,2016-06-30,ORCL,0.0,0.3714985722842371,0.0,1.0,1,0.9057236642639067
10104,2016-07-31,ORCL,-0.15237670677555945,-0.15237670677555945,-0.5,-0.5,2,0.4571301203266783
10104,2016-08-31,ORCL,-0.04593419048446058,0.10644251629109887,0.0,0.5,2,0.1591496485174489
10104,2016-10-31,ORCL,-0.15237670677555945,-0.10644251629109887,-1.0,-1.0,1,0.15237670677555945
10104,2016-11-30,ORCL,-0.22643091606597668,-0.07405420929041723,-1.0,0.0,1,0.22643091606597668
10104,2016-12-31,ORCL,-0.3714985722842371,-0.14506765621826043,-0.5,0.5,2,0.781666250288056
10104,2017-01-31,ORCL,-0.25000000000000006,0.12149857228423705,-2.0,-1.5,1,0.12500000000000003
10104,2017-03-31,ORCL,-0.28303864508247084,-0.033038645082470786,-0.6666666666666666,1.3333333333333335,3,0.5094695611484475
10104,2017-04-30,ORCL,-0.7429971445684742,-0.45995849948600337,-1.0,-0.33333333333333337,1,0.7429971445684742
10104,2017-05-31,ORCL,0.0,0.7429971445684742,0.0,1.0,1,0.13801118920922653
10104,2017-06-30,ORCL,-1.4749722803697245,-1.4749722803697245,-0.5,-0.5,4,2.073961188342951
10104,2017-07-31,ORCL,-0.06900559460461328,1.4059666857651112,-1.0,-0.5,1,0.06900559460461328
10104,2017-09-30,ORCL,-1.8176641171258574,-1.748658522521244,-1.3333333333333333,-0.33333333333333326,3,0.9973287611182196
10104,2017-10-31,ORCL,-0.06900559460461328,1.748658522521244,-1.0,0.33333333333333326,1,0.06900559460461328
10104,2017-12-31,ORCL,0.0,0.06900559460461328,0.0,1.0,1,0.20508383900190952
10104,2018-01-31,ORCL,-0.5153618321319533,-0.5153618321319533,-1.0,-1.0,2,0.5153618321319533
10104,2018-02-28,ORCL,0.0,0.5153618321319533,0.0,1.0,1,0.5520447568369062
10104,2018-03-31,ORCL,0.0,0.0,0.0,0.0,3,0.9459818752603268
10104,2018-04-30,ORCL,0.0,0.0,0.0,0.0,2,0.5
