datadate,permno,ticker,comnam,ret_fwd_1
2019-12-31,13906,WLH,LYON WILLIAM HOMES,0.159361
2019-12-31,14690,ARDX,ARDELYX INC,-0.057929
2019-12-31,14716,CCS,CENTURY COMMUNITIES INC,0.083526
2019-12-31,14790,ADVM,ADVERUM BIOTECHNOLOGIES INC,-0.144529
2019-12-31,16579,FBM,FOUNDATION BLDG MATERIALS INC,-0.079853
2019-12-31,17973,PRVB,PROVENTION BIO INC,0.003398
2019-12-31,57154,GLT,GLATFELTER P H CO,-0.0820999999999999
2019-12-31,76224,BHE,BENCHMARK ELECTRONICS INC,-0.105491
2019-12-31,79909,MHO,M I HOMES INC,0.126781
2019-12-31,81116,VECO,VEECO INSTRUMENTS INC DEL,-0.133067
2019-12-31,84827,RMBS,RAMBUS INC,0.150787
2019-12-31,85627,SAH,SONIC AUTOMOTIVE INC,0.019023
2019-12-31,90097,UCTT,ULTRA CLEAN HOLDINGS INC,-0.0209
2019-12-31,91491,ACHN,ACHILLION PHARMACEUTICALS INC,
2019-12-31,92095,INFN,INFINERA CORP,-0.073088
