datadate,permno,ticker,comnam,ret_fwd_1
2019-12-31,10051,HNGR,HANGER INC,-0.116476
2019-12-31,10866,CAL,CALERES INC,-0.262353
2019-12-31,10890,UIS,UNISYS CORP,-0.182582
2019-12-31,10966,AXGN,AXOGEN INC,-0.161235
2019-12-31,11587,ATRI,ATRION CORP,-0.044294
2019-12-31,11636,HRTX,HERON THERAPEUTICS INC,-0.1136399999999999
2019-12-31,11664,GDOT,GREEN DOT CORP,0.289687
2019-12-31,11775,JOUT,JOHNSON OUTDOORS INC,0.025749
2019-12-31,11884,IPAR,INTERMEDIATE PARFUMS INC,-0.050812
2019-12-31,11995,COKE,COCA COLA CONSOLIDATED INC,-0.047054
2019-12-31,12008,DY,DYCOM INDUSTRIES INC,-0.144036
2019-12-31,12226,MGPI,M G P INGREDIENTS INC,-0.298307
2019-12-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,-0.0927399999999999
2019-12-31,12493,QADA,QAD INC,0.00891
2019-12-31,12497,ASMB,ASSEMBLY BIOSCIENCES INC,0.030691
2019-12-31,12503,NAV,NAVISTAR INTERNATIONAL CORP,-0.547155
2019-12-31,12583,PCRX,PACIRA BIOSCIENCES INC,-0.047216
2019-12-31,12758,ECOL,U S ECOLOGY INC NEW,-0.065581
2019-12-31,12796,SAVE,SPIRIT AIRLINES INC,0.017554
2019-12-31,12880,AMCX,A M C NETWORKS INC,-0.074971
2019-12-31,12906,SRCI,S R C ENERGY INC,
2019-12-31,13108,GRPN,GROUPON INC,0.203721
2019-12-31,13124,LPI,LAREDO PETROLEUM INC,0.385298
2019-12-31,13201,REGI,RENEWABLE ENERGY GROUP INC,-0.026161
2019-12-31,13244,MTDR,MATADOR RESOURCES CO,-0.184939
2019-12-31,13249,PRLB,PROTO LABS INC,0.017902
2019-12-31,13262,CCXI,CHEMOCENTRYX INC,0.071266
2019-12-31,13316,VCRA,VOCERA COMMUNICATIONS INC,0.059875
2019-12-31,13343,MRC,M R C GLOBAL INC,-0.175787
2019-12-31,13410,SUPN,SUPERNUS PHARMACEUTICALS INC,-0.037135
2019-12-31,13548,BLMN,BLOOMIN BRANDS INC,-0.060204
2019-12-31,13577,HY,HYSTER YALE MATERIALS HANDLG INC,-0.0855939999999999
2019-12-31,13622,RLGY,REALOGY HOLDINGS CORP,0.092708
2019-12-31,13625,SSTK,SHUTTERSTOCK INC,0.009194
2019-12-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,0.032116
2019-12-31,13816,MODN,MODEL N INC,-0.111936
2019-12-31,13825,ENTA,ENANTA PHARMACEUTICALS INC,-0.167049
2019-12-31,13837,EVTC,EVERTEC INC,-0.0151069999999999
2019-12-31,13860,SEAS,SEAWORLD ENTERTAINMENT INC,0.085423
2019-12-31,13863,TXMD,THERAPEUTICSMD INC,-0.071548
2019-12-31,13935,NRC,NATIONAL RESEARCH CORP,0.024936
2019-12-31,13940,PTLA,PORTOLA PHARMACEUTICALS INC,-0.465705
2019-12-31,13954,ESPR,ESPERION THERAPEUTICS INC NEW,-0.094374
2019-12-31,13962,NSTG,NANOSTRING TECHNOLOGIES INC,-0.024665
2019-12-31,13967,PTCT,P T C THERAPEUTICS INC,-0.170753
2019-12-31,14045,LIND,LINDBLAD EXPEDITIONS HLDS INC,0.0072629999999999
2019-12-31,14072,XON,INTREXON CORP,-0.15276
2019-12-31,14097,FOXF,FOX FACTORY HOLDING CORP,-0.055203
2019-12-31,14102,SFM,SPROUTS FARMERS MARKET INC,-0.193548
2019-12-31,14149,BNFT,BENEFITFOCUS INC,-0.158091
2019-12-31,14169,PINC,PREMIER INC,-0.0834009999999999
2019-12-31,14176,XLRN,ACCELERON PHARMA INC,
2019-12-31,14179,AR,ANTERO RESOURCES CORP,3.180109
2019-12-31,14238,AERI,AERIE PHARMACEUTICALS INC,-0.153969
2019-12-31,14239,COMM,COMMSCOPE HOLDING CO INC,-0.142597
2019-12-31,14244,EIGI,ENDURANCE INTL GROUP HLDGS INC,0.002955
2019-12-31,14245,FATE,FATE THERAPEUTICS INC,0.2945609999999999
2019-12-31,14263,VCYT,VERACYTE INC,-0.061114
2019-12-31,14312,HMHC,HOUGHTON MIFFLIN HARCOURT CO,-0.1181
2019-12-31,14359,XNCR,XENCOR INC,-0.0143849999999999
2019-12-31,14422,CARA,CARA THERAPEUTICS INC,-0.001921
2019-12-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,-0.339977
2019-12-31,14434,MBUU,MALIBU BOATS INC,0.068053
2019-12-31,14436,RARE,ULTRAGENYX PHARMACEUTICALS INC,-0.105718
